Año,Mes,Día,Hora,Minuto,Segundo,Tipo de Dato
2024,9,20,15,56,17,Movimiento
2024,9,20,15,56,26,Movimiento
2024,9,20,15,56,29,Movimiento
2024,9,20,15,56,42,Movimiento
2024,9,20,15,56,55,Movimiento
2024,9,20,15,57,7,Movimiento
2024,9,20,15,57,11,Movimiento
2024,9,20,15,57,22,Movimiento
2024,9,20,15,57,37,Movimiento
2024,9,20,15,57,54,Movimiento
2024,9,20,15,58,6,Movimiento
2024,9,20,15,58,17,Movimiento
2024,9,20,15,58,33,Movimiento
2024,9,20,15,58,36,Movimiento
2024,9,20,15,58,39,Movimiento
2024,9,20,15,58,55,Movimiento
2024,9,20,15,59,19,Movimiento
2024,9,20,15,59,40,Movimiento
2024,9,20,15,59,46,Movimiento
2024,9,20,15,59,58,Movimiento
2024,9,20,16,0,9,Movimiento
2024,9,20,16,0,33,Movimiento
2024,9,20,16,0,51,Movimiento
2024,9,20,16,1,9,Movimiento
2024,9,20,16,1,33,Movimiento
2024,9,20,16,1,48,Movimiento
2024,9,20,16,2,26,Movimiento
2024,9,20,16,2,35,Movimiento
2024,9,20,16,3,51,Movimiento
2024,9,20,16,4,28,Movimiento
2024,9,20,16,5,27,Movimiento
2024,9,20,16,5,35,Movimiento
2024,9,20,16,6,11,Movimiento
2024,9,20,16,6,22,Movimiento
2024,9,20,16,10,37,Movimiento
2024,9,20,16,10,54,Movimiento
2024,9,20,16,12,6,Movimiento
2024,9,20,16,13,17,Movimiento
2024,9,20,16,13,33,Movimiento
2024,9,20,16,15,7,Movimiento
2024,9,20,16,17,11,Movimiento
2024,9,20,16,17,38,Movimiento
2024,9,20,16,23,37,Movimiento
2024,9,20,16,25,19,Movimiento
2024,9,20,16,25,40,Movimiento
2024,9,20,16,27,46,Movimiento
