Año,Mes,Día,Hora,Minuto,Segundo,Tipo de Dato
2024,9,20,16,35,17,Movimiento
2024,9,20,16,35,26,Movimiento
2024,9,20,16,36,29,Movimiento
2024,9,20,16,38,42,Movimiento
2024,9,20,16,39,55,Movimiento
2024,9,20,16,41,7,Movimiento
2024,9,20,16,41,36,Movimiento
2024,9,20,16,43,22,Movimiento
2024,9,20,16,45,37,Movimiento
2024,9,20,16,48,54,Movimiento
2024,9,20,16,51,6,Movimiento
2024,9,20,16,52,17,Movimiento
2024,9,20,16,53,33,Movimiento
2024,9,20,16,54,36,Movimiento
2024,9,20,16,57,39,Movimiento
2024,9,20,16,58,55,Movimiento
2024,9,20,17,1,19,Movimiento
2024,9,20,17,1,40,Movimiento
2024,9,20,17,2,46,Movimiento
2024,9,20,17,3,58,Movimiento
2024,9,20,17,4,9,Movimiento
2024,9,20,17,4,33,Movimiento
2024,9,20,17,4,51,Movimiento
2024,9,20,17,5,14,Movimiento
2024,9,20,17,5,33,Movimiento
2024,9,20,17,5,48,Movimiento
2024,9,20,17,6,26,Movimiento
2024,9,20,17,8,35,Movimiento
2024,9,20,17,9,51,Movimiento
2024,9,20,17,10,28,Movimiento
2024,9,20,17,11,27,Movimiento
2024,9,20,17,11,35,Movimiento
